Episode Title,Episode URL,Reference
Qual o impacto das bets em nossas vidas?,https://www.b9.com.br/shows/naruhodo/naruhodo-429-qual-o-impacto-das-bets-em-nossas-vidas/,"2020, o ano que nunca acabou
Braincast"
Facebook,https://www.facebook.com/sharer.php?u=https://www.b9.com.br/shows/naruhodo/naruhodo-429-qual-o-impacto-das-bets-em-nossas-vidas/,
JavaScript is not available.,https://twitter.com/share?url=https://www.b9.com.br/shows/naruhodo/naruhodo-429-qual-o-impacto-das-bets-em-nossas-vidas/&via=brains9&text=Naruhodo #429 – Qual o impacto das bets em nossas vidas?,
Prêmio IgNobel 2024 - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-428-premio-ignobel-2024-parte-2-de-2/,"Oeste Outra Vez
Cinemático"
Prêmio IgNobel 2024 - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-428-premio-ignobel-2024-parte-2-de-2/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
Prêmio IgNobel 2024 - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-428-premio-ignobel-2024-parte-2-de-2/,"Entrevista #39: Mila Massuda
Naruhodo!"
Prêmio IgNobel 2024 - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-428-premio-ignobel-2024-parte-2-de-2/,"2020, o ano que nunca acabou
Braincast"
Prêmio IgNobel 2024 - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-428-premio-ignobel-2024-parte-2-de-2/,"Ruptura [S2]
Cinemático"
Prêmio IgNobel 2024 - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-428-premio-ignobel-2024-parte-2-de-2/,"Oeste Outra Vez
Cinemático"
Prêmio IgNobel 2024 - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-428-premio-ignobel-2024-parte-2-de-2/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
Prêmio IgNobel 2024 - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-428-premio-ignobel-2024-parte-2-de-2/,"Entrevista #39: Mila Massuda
Naruhodo!"
Prêmio IgNobel 2024 - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-428-premio-ignobel-2024-parte-2-de-2/,"2020, o ano que nunca acabou
Braincast"
Prêmio IgNobel 2024 - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-428-premio-ignobel-2024-parte-2-de-2/,"Ruptura [S2]
Cinemático"
Facebook,https://www.facebook.com/sharer.php?u=https://www.b9.com.br/shows/naruhodo/naruhodo-428-premio-ignobel-2024-parte-2-de-2/,
JavaScript is not available.,https://twitter.com/share?url=https://www.b9.com.br/shows/naruhodo/naruhodo-428-premio-ignobel-2024-parte-2-de-2/&via=brains9&text=Naruhodo #428 – Prêmio IgNobel 2024 – Parte 2 de 2,
Prêmio IgNobel 2024 - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-427-premio-ignobel-2024-parte-1-de-2/,"Oeste Outra Vez
Cinemático"
Prêmio IgNobel 2024 - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-427-premio-ignobel-2024-parte-1-de-2/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
Prêmio IgNobel 2024 - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-427-premio-ignobel-2024-parte-1-de-2/,"Entrevista #39: Mila Massuda
Naruhodo!"
Prêmio IgNobel 2024 - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-427-premio-ignobel-2024-parte-1-de-2/,"2020, o ano que nunca acabou
Braincast"
Prêmio IgNobel 2024 - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-427-premio-ignobel-2024-parte-1-de-2/,"Ruptura [S2]
Cinemático"
Prêmio IgNobel 2024 - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-427-premio-ignobel-2024-parte-1-de-2/,"Oeste Outra Vez
Cinemático"
Prêmio IgNobel 2024 - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-427-premio-ignobel-2024-parte-1-de-2/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
Prêmio IgNobel 2024 - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-427-premio-ignobel-2024-parte-1-de-2/,"Entrevista #39: Mila Massuda
Naruhodo!"
